Text,Translation,Language,Category
I am a doctor. I do not speak Korean. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,저는 의사입니다. 저는 한국말을 할줄 모릅니다. 이 사이트를 이용해서 의사소통을 할겁니다. 최대한 영어로 답변 해주시면 감사하겠습니다,Korean,Greetings
What's your name?,성함이 어떻게 되나요?,Korean,Greetings
Please give me your Identitification Card / Work Permit,신분증을 보여주세요,Korean,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?",최근 14일 동안 코로나 바이러스 확진자와 접촉 한적이 있나요?,Korean,Contact with Others
Who? What is your relationship with them?,누구요? 그들과 관계가 어떻게 되나요?,Korean,Contact with Others
"How many days ago did you meet them? If you can't talk, point to the number (I edited the question) (There is a number chart in the sidebar if they cannot answer)",몇일전에 그분들을 만나셨나요? 말을 하시기 불편하시면 손으로 가르키세요,Korean,Contact with Others
How long were you with him/her?,저 남자/여자 분과 얼마나 같이 있었나요?,Korean,Contact with Others
How long were you with him/her? (gender neutral),저 분과 얼마나 같이 있었나요?,Korean,Contact with Others
"In the last 14 days, did you travel out of the country? If yes, tell us the countries in English.",최근 14일 동안에 해외로 나가신적이 있나요? 만약에 있으시다면 방문 국가들을 영어로 알려주세요,Korean,Contact with Others
Do you have a fever?,열이 있나요?,Korean,Symptoms
"How many days?
(asking how many days someone had the symptom)",몇일 동안 증상이 있었나요?,Korean,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?",체온계로 측정하셨나요? 제일 높은 체온이 어떻게 되나요?,Korean,Symptoms
Runny nose? (asking someone),콧물이 계속 나오나요?,Korean,Symptoms
Cough? (asking someone),기침을 하시나요?,Korean,Symptoms
Sore throat? (asking someone / medical jargon),인후염이나 후두염이 있나요?,Korean,Symptoms
Sore throat? (asking someone / non-mdeical term),목이 아프시나요?,Korean,Symptoms
Difficulty breathing? (asking someone),호흡이 힘드신가요?,Korean,Symptoms
Do you have diarrhoea? How many times a day?,설사를 하시나요? 하루에 몇번을 하시나요?,Korean,Symptoms
Rash? (asking someone),발진이 있나요?,Korean,Symptoms
"Any pain? Specifically, any chest pain?",통증이 있나요? 특히 가슴쪽에 통증이 있나요?,Korean,Symptoms
Point to the place.,장소를 가리키세요,Korean,Symptoms
Do you have any past medical history?,과거 병력이 있나요?,Korean,Medical Conditions
Please point to which ones.,어떤것인지 가리키세요,Korean,Medical Conditions
Asthma,천식,Korean,Medical Conditions
Pneumonia,폐렴,Korean,Medical Conditions
Hypertension,고혈압,Korean,Medical Conditions
Hyperlipidemia,고지혈증,Korean,Medical Conditions
Diabetes,당뇨병,Korean,Medical Conditions
Heart problems,심장 질환,Korean,Medical Conditions
Kidney problems,신장 질환,Korean,Medical Conditions
Do you have a drug allergy?,약물 알레르기가 있나요?,Korean,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?",담배를 피우시나요? 하루에 몇개비를 피우시나요?,Korean,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?",술을 하시나요? 얼마나 하시나요? (일주일에 몇병을 마시나요? / 어떤 종류의 술을 마시나요?),Korean,Medical Conditions
"If you have any other problems, you can tell me in English.",다른 문제가 있을 경우 영어로 말해주세요,Korean,Medical Conditions
I’m going to examine you.,검사를 실시 하겠습니다,Korean,Medical Instructions
Tell me if you feel more pain.,통증이 심화되면 알려주세요,Korean,Medical Instructions
Please remove your shirt. (general clothing),옷을 벗어주세요,Korean,Medical Instructions
Keep taking deep breaths through your mouth.,입으로 큰 숨을 들이 마시세요,Korean,Medical Instructions
"Say ""99"" when I listen with my stethoscope.",청진기를 대었을때 구십구라고 이야기 해주세요,Korean,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,면봉을 콧구멍 안으로 넣을겁니다. 좀 불편 할수 있습니다,Korean,Medical Instructions
This is to test for coronavirus,코로나-19 검사용 입니다,Korean,Medical Instructions
Tilt your head back,목을 뒤로 젖혀보세요,Korean,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.",만약 코로나-19 검사에서 양성이 나오면 내일 전화 드리겠습니다,Korean,Medical Instructions
"If coronavirus negative, we send you SMS after 3 days",만약 코로나-19 검사에서 음성이 나오면 3일 뒤에 문자를 보내드리겠습니다,Korean,Medical Instructions
"Later, you will do an X-ray",나중에 엑스레이 받으실거에요,Korean,Medical Instructions
There is no sign of infection on your X-ray,엑스레이상으로는 감염 증상이 보이지 않습니다,Korean,Medical Instructions
You can go back soon.,곧 돌아 갈수 있습니다,Korean,Medical Instructions
"Wait here, do not leave this area",여기서 기다리세요. 떠나시면 안됩니다,Korean,Medical Instructions
You have to stay in the hospital for a few days,병원에 몇일간 입원 하셔야 합니다,Korean,Medical Instructions
I'll give you medicine to make you feel better,기분이 나아지시라고 약을 드리겠습니다,Korean,Medical Instructions
You must not work for next 5 days.,앞으로 5일간 일을 하시면 안됩니다,Korean,Medical Instructions
You must come back if you have problems with breathing.,호흡에 문제가 생기면 다시 돌아오세요,Korean,Medical Instructions
You must come back if you do not recover completely after 5 days,5일 뒤에도 완전히 나아지지 않으면 다시 돌아오세요,Korean,Medical Instructions
Read the handout carefully,인쇄물을 자세히 읽어주세요,Korean,Medical Instructions
Thank you,감사합니다,Korean,Greetings
Good morning / afternoon / evening (all the same in Korean),안녕하세요,Korean,Greetings
I am the nurse,제가 간호사 입니다,Korean,Greetings
I am the doctor,제가 의사입니다,Korean,Greetings
You are in the intensive care unit.,지금 중환자실에 계십니다,Korean,Medical Instructions
Today is Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday,오늘은 월요일/화요일/수요일/목요일/금요일/토요일/일요일 입니다,Korean,Greetings
You are getting better,조금씩 나아지고 있습니다,Korean,Greetings
We will remove the breathing tube when you are better,몸이 조금 나아지면 호흡용 관을 제거하겠습니다,Korean,Medical Instructions
You can talk after we remove the breathing tube,호흡용 관을 제거한 후 말씀하세요,Korean,Medical Instructions
Take a deep breath,숨을 크게 들이 마시세요,Korean,Medical Instructions
Give me a big cough,큰 기침을 한번 해주세요,Korean,Medical Instructions
Don’t struggle,몸부림 치지 마세요,Korean,Medical Instructions
Don’t move,움직이지 마세요,Korean,Medical Instructions
Lift up your arm,팔을 올려보세요,Korean,Medical Instructions
Lift up your leg (same description as 95),다리를 올려주세요,Korean,Medical Instructions
Squeeze my hand,제 손을 움켜보세요,Korean,Medical Instructions
Show me two fingers,손가락 두개를 보여주세요,Korean,Medical Instructions
Open your mouth,입을 벌려보세요,Korean,Medical Instructions
Stick out your tongue,혀를 내밀어 보세요,Korean,Medical Instructions
Open your eyes,눈을 떠보세요,Korean,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,눈에 불을 비추겠습니다. 밝을 수 있습니다,Korean,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,폐기능이 저하되어 있습니다. 원활한 호흡을 위해 호흡용 관을 삽입하겠습니다,Korean,Medical Instructions
You are going to sleep now,수면을 취하시겠습니다,Korean,Medical Instructions
We are turning you onto your belly to help your lungs expand (belly facing down),폐의 팽창을 위해서 배가 위를 향하도록 하겠습니다,Korean,Medical Instructions
We are turning you onto your belly to help your lungs expand (belly facing up),폐의 팽창을 위해서 배가 아래를 향하도록 하겠습니다,Korean,Medical Instructions
We are inserting a tube to help you pass urine,원활한 소변 활동을 위해서 관을 삽입하고 있습니다,Korean,Medical Instructions
We are inserting a tube through your nose,코를 통해서 관을 삽입하고 있습니다,Korean,Medical Instructions
We are going to give you an injection in your neck to give you medications,약물 투여를 위해 목에 주사를 놓겠습니다,Korean,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure (giving injection),혈압을 측정하기 위해 주사를 놓겠습니다,Korean,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure (drawing blood),혈압을 측정하기 위해 피를 뽑겠습니다,Korean,Medical Instructions
We will give you sleeping medications.,수면제를 드리겠습니다,Korean,Medical Instructions
We will give you painkillers.,진통제를 드리겠습니다,Korean,Medical Instructions
We are giving you medication to keep your blood pressure up.,약물을 투여함으로써 혈압을 높이고 있습니다,Korean,Medical Instructions
We are going to remove the breathing tube.,호흡용 관을 제거하겠습니다,Korean,Medical Instructions
We are going to suck out your phlegm,가래를 제거하겠습니다,Korean,Medical Instructions
We are going to clean you with a sponge,스폰지로 몸을 닦겠습니다,Korean,Medical Instructions
​Turn left (while standing or sitting),몸을 왼쪽으로 돌리세요,Korean,Medical Instructions
Turn left (while lying down on the bed),왼쪽으로 돌아 누우세요,Korean,Medical Instructions
Turn right (while standing or sitting),몸을 오른쪽으로 돌리세요,Korean,Medical Instructions
Turn right (while lying down on the bed),오르쪽으로 돌아 누우세요,Korean,Medical Instructions
We will change your diapers,기저귀를 갈겠습니다,Korean,Medical Instructions
Lift up your leg,다리를 올려주세요,Korean,Medical Instructions
We are going to sit you up,앉아주세요,Korean,Medical Instructions
We are going to shift you up the bed (moving the bed),침대를 올리겠습니다,Korean,Medical Instructions
We are going to shift you up the bed (moving the patient),몸을 침대 위로 옮기겠습니다,Korean,Medical Instructions
We are going to clean your mouth,입안을 세척 하겠습니다,Korean,Medical Instructions
Do not swallow the gargle,가글을 삼키지 마세요,Korean,Medical Instructions
I am a doctor. I do not speak French. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Je suis un(e) medecin(e). Je ne parle pas Français. Je vais communiquer avec toi à travers de ce site. Repondez-moi en anglais si possible. Merci.,French,Greetings
What's your name?,Comment vous appelez-vous?,French,Greetings
Please give me your Identitification Card / Work Permit,Donnez-moi votre carte d'identification s'il vous plaît,French,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","Au cours des 14 derniers jours, avez-vous rencontré quelqu'un qui a coronavirus?",French,Contact with Others
Who? What is your relationship with them?,Qui? Quelle est votre relation avec eux?,French,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),Combien de jours avez-vous rencontrés il y a? (Il y a un tableau numérique dans la barre latérale si elles ne peuvent pas répondre),French,Contact with Others
How long were you with him/her?,Depuis combien de temps étiez-vous avec lui / elle?,French,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","Au cours des 14 derniers jours, avez-vous voyager hors de Singapour? Si oui, dites-nous les pays en anglais.",French,Contact with Others
Do you have a fever?,Avez-vous de la fièvre?,French,Symptoms
"How many days?
(You may use this for multiple symptoms)","Combien de jours?
(Vous pouvez l'utiliser pour de multiples symptômes)",French,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Avez-vous mesuré avec un thermomètre? Si vous avez fait, quelle était la valeur la plus élevée?",French,Symptoms
Runny nose?,Nez qui coule?,French,Symptoms
Cough?,La toux?,French,Symptoms
Sore throat?,Gorge irritée?,French,Symptoms
Difficulty breathing?,Difficulté à respirer?,French,Symptoms
Do you have diarrhoea? How many times a day?,Avez-vous la diarrhée? Combien de fois par jour?,French,Symptoms
Rash?,Éruption?,French,Symptoms
"Any pain? Specifically, any chest pain?","Aucune douleur? Plus précisément, une douleur thoracique?",French,Symptoms
Point to the place.,Pointez à l'endroit.,French,Symptoms
Do you have any past medical history?,Avez-vous des antécédents médicaux?,French,Medical Conditions
Please point to which ones.,S'il vous plaît indiquez lesquels.,French,Medical Conditions
Asthma,Asthme,French,Medical Conditions
Pneumonia,Pneumonie,French,Medical Conditions
Hypertension,Hypertension,French,Medical Conditions
Hyperlipidemia,hyperlipidémie,French,Medical Conditions
Diabetes,Diabète,French,Medical Conditions
Heart problems,Problèmes cardiaques,French,Medical Conditions
Kidney problems,Problèmes rénaux,French,Medical Conditions
Loss of taste,Perte du goût,French,Symptoms
Lost of Smell,Perdu l'odorat,French,Symptoms
Do you have a drug allergy?,Avez-vous une allergie médicamenteuse?,French,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","Est-ce que vous fumez? Si oui, combien de cigarettes par jour?",French,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Buvez-vous? Si oui, combien (nombre de bouteilles par semaine, le type d'alcool)?",French,Medical Conditions
"If you have any other problems, you can tell me in English.","Si vous avez d'autres problèmes, vous pouvez me dire en anglais.",French,Medical Conditions
I’m going to examine you.,Je vais vous examiner.,French,Medical Instructions
Tell me if you feel more pain.,Dites-moi si vous vous sentez encore plus de douleur.,French,Medical Instructions
Please remove your shirt.,S'il vous plaît enlevez votre chemise.,French,Medical Instructions
Keep taking deep breaths through your mouth.,Continuez à prendre des respirations profondes par la bouche.,French,Medical Instructions
"Say ""99"" when I listen with my stethoscope.",Dites « 99 » quand je l'écoute avec mon stéthoscope.,French,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Je vais mettre ce coton tige dans votre narine. Il peut sembler incomfortable, mais ce n'est pas douloureux",French,Medical Instructions
This is to test for coronavirus,Ceci sert à déterminer la présence du coronavirus,French,Medical Instructions
Tilt your head back,Inclinez votre tête,French,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Si c'est positif de coronavirus, nous vous appelons par téléphone demain",French,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Si c'est négatif de coronavirus, nous vous envoyons un SMS (texto) après 3 jours",French,Medical Instructions
"Later, you will do an X-ray","Par la suite, vous ferez un rayon X",French,Medical Instructions
There is no sign of infection on your X-ray,Il n'y a aucun signe d'infection sur votre X-ray,French,Medical Instructions
You can go back soon.,Vous pouvez y retourner bientôt.,French,Medical Instructions
"Wait here, do not leave this area","Attendez ici, ne quittez pas cet endroit",French,Medical Instructions
You have to stay in the hospital for a few days,Vous devez rester à l'hôpital pendant quelques jours,French,Medical Instructions
We need to transfer you to another location.,Nous avons besoin de vous transférer vers un autre emplacement.,French,Medical Instructions
I'll give you medicine to make you feel better,Je vais vous donner des médicaments pour vous faire sentir mieux,French,Medical Instructions
You must not work for next 5 days.,Vous ne devez pas travailler pour les 5 prochains jours.,French,Medical Instructions
You must come back if you have problems with breathing.,Vous devez revenir si vous avez des problèmes avec la respiration.,French,Medical Instructions
You must come back if you do not recover completely after 5 days,Vous devez revenir si vous ne récupérez pas complètement au bout de 5 jours,French,Medical Instructions
Read the handout carefully,Lisez attentivement le document,French,Medical Instructions
Thank you,Je vous remercie,French,Greetings
Good morning / afternoon / evening,Bonjour / Bonsoir,French,Greetings
I am the nurse,Je suis l'infirmière,French,Greetings
I am the doctor,Je suis le médecin,French,Greetings
You are in the intensive care unit.,Vous êtes dans l'unité de soins intensifs.,French,Medical Instructions
Today is Monday,Aujourd'hui c'est lundi,French,Greetings
Today is Tuesday,"Aujourd'hui, c'est mardi",French,Greetings
Today is Wednesday,Aujourd'hui c'est mercredi,French,Greetings
Today is Thursday,Aujourd'hui c'est jeudi,French,Greetings
Today is Friday,Aujourd'hui c'est vendredi,French,Greetings
Today is Saturday,Aujourd'hui c'est samedi,French,Greetings
Today is Sunday,Aujourd'hui c'est dimanche,French,Greetings
You are getting better,Vous vous améliorez,French,Greetings
We will remove the breathing tube when you are better,Nous allons retirer le tube respiratoire lorsque vous êtes mieux,French,Medical Instructions
You can talk after we remove the breathing tube,Vous pouvez parler après que nous enlever le tube respiratoire,French,Medical Instructions
Take a deep breath,Prenez une grande respiration,French,Medical Instructions
Give me a big cough,Donnez-moi une grande toux,French,Medical Instructions
Don’t struggle,Ne pas lutter,French,Medical Instructions
Don’t move,Ne pas bouger,French,Medical Instructions
Lift up your arm,Levez votre bras,French,Medical Instructions
Lift up your leg,Soulevez la jambe,French,Medical Instructions
Squeeze my hand,Pincez ma main,French,Medical Instructions
Show me two fingers,Montrez-moi deux doigts,French,Medical Instructions
Open your mouth,Ouvrez la bouche,French,Medical Instructions
Stick out your tongue,Tirez votre langue,French,Medical Instructions
Open your eyes,Ouvrez vos yeux,French,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Je vais briller une lumière dans vos yeux. Il sera brillant.,French,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,Vos poumons sont faibles. Nous allons insérer un tube respiratoire pour vous aider à respirer,French,Medical Instructions
You are going to sleep now,Vous allez dormir maintenant,French,Medical Instructions
We are turning you onto your belly to help your lungs expand,Nous vous tournant sur le ventre pour aider vos poumons se dilatent,French,Medical Instructions
We are inserting a tube to help you pass urine,Nous insérons un tube pour vous aider à passer l'urine,French,Medical Instructions
We are inserting a tube through your nose,Nous insérons un tube par le nez,French,Medical Instructions
We are going to give you an injection in your neck to give you medications,Nous allons vous donner une injection dans votre cou pour vous donner des médicaments,French,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Nous allons vous donner une injection dans le bras pour mesurer votre tension artérielle,French,Medical Instructions
We will give you sleeping medications.,Nous vous donnerons des médicaments pour dormir.,French,Medical Instructions
We will give you painkillers.,Nous vous donnerons des antalgiques.,French,Medical Instructions
We are giving you medication to keep your blood pressure up.,Nous vous donnons des médicaments pour maintenir votre tension artérielle vers le haut.,French,Medical Instructions
We are going to remove the breathing tube.,Nous allons retirer le tube respiratoire.,French,Medical Instructions
We are going to suck out your phlegm,Nous allons aspirer votre flegme,French,Medical Instructions
We are going to clean you with a sponge,Nous allons vous nettoyer avec une éponge,French,Medical Instructions
Turn left,Tournez à gauche,French,Medical Instructions
Turn right,Tournez à droite,French,Medical Instructions
We will change your diapers,Nous allons changer vos couches,French,Medical Instructions
Lift up your leg,Soulevez la jambe,French,Medical Instructions
We are going to sit you up,Nous allons vous asseoir,French,Medical Instructions
We are going to shift you up the bed,Nous allons vous déplacer le lit,French,Medical Instructions
We are going to clean your mouth,Nous allons nettoyer la bouche,French,Medical Instructions
Do not swallow the gargle,Ne pas avaler le gargarisme,French,Medical Instructions
I am a doctor. I do not speak Spanish. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Soy un doctor. Yo no hablo español. Me comunicaré con usted a través de este sitio web. contestarme en Inglés tanto como sea posible. Gracias.,Spanish,Greetings
What's your name?,¿Como te llamas?,Spanish,Greetings
Please give me your Identitification Card / Work Permit,"Por favor, dame tu permiso de trabajo / Tarjeta Identitification",Spanish,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","En los últimos 14 días, se conocieron cualquier persona que tenga coronavirus?",Spanish,Contact with Others
Who? What is your relationship with them?,¿OMS? ¿Cuál es su relación con ellos?,Spanish,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),¿Cuántos días hace que dejó de reunirse con ellos? (Hay una tabla de números en la barra lateral si no pueden responder),Spanish,Contact with Others
How long were you with him/her?,¿Cuánto tiempo estuvo con él / ella?,Spanish,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","En los últimos 14 días, viajaste fuera de Singapur? Si es así, nos dicen los países en Inglés.",Spanish,Contact with Others
Do you have a fever?,¿Tienes fiebre?,Spanish,Symptoms
"How many days?
(You may use this for multiple symptoms)","¿Cuántos días?
(Usted puede usar esto para múltiples síntomas)",Spanish,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Se ha medido con un termómetro? Si es así, ¿cuál fue la lectura más alta?",Spanish,Symptoms
Runny nose?,¿Nariz que moquea?,Spanish,Symptoms
Cough?,¿Tos?,Spanish,Symptoms
Sore throat?,¿Dolor de garganta?,Spanish,Symptoms
Difficulty breathing?,¿Respiración dificultosa?,Spanish,Symptoms
Do you have diarrhoea? How many times a day?,¿Tiene diarrea? ¿Cuántas veces al día?,Spanish,Symptoms
Rash?,¿Erupción?,Spanish,Symptoms
"Any pain? Specifically, any chest pain?","¿Cualquier dolor? En concreto, cualquier dolor en el pecho?",Spanish,Symptoms
Point to the place.,Apuntar al lugar.,Spanish,Symptoms
Do you have any past medical history?,¿Tiene alguna historia médica pasada?,Spanish,Medical Conditions
Please point to which ones.,Por favor apuntar a cuáles.,Spanish,Medical Conditions
Asthma,Asma,Spanish,Medical Conditions
Pneumonia,Neumonía,Spanish,Medical Conditions
Hypertension,Hipertensión,Spanish,Medical Conditions
Hyperlipidemia,hiperlipidemia,Spanish,Medical Conditions
Diabetes,Diabetes,Spanish,Medical Conditions
Heart problems,Problemas del corazón,Spanish,Medical Conditions
Kidney problems,Problemas de riñon,Spanish,Medical Conditions
Loss of taste,Pérdida del gusto,Spanish,Symptoms
Lost of Smell,Perdida del olfato,Spanish,Symptoms
Do you have a drug allergy?,¿Tiene una alergia a medicamentos?,Spanish,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","¿Fumas? Si sí, ¿cuántos cigarrillos al día?",Spanish,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","¿Tu bebes? Si es así, ¿cuánto (número de botellas a la semana, tipo de alcohol)?",Spanish,Medical Conditions
"If you have any other problems, you can tell me in English.","Si tiene cualquier otro problema, puede decirme en Inglés.",Spanish,Medical Conditions
I’m going to examine you.,Voy a examinarle.,Spanish,Medical Instructions
Tell me if you feel more pain.,Dime si se siente más dolor.,Spanish,Medical Instructions
Please remove your shirt.,"Por favor, elimine la camisa.",Spanish,Medical Instructions
Keep taking deep breaths through your mouth.,Mantener al respirar profundamente por la boca.,Spanish,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","Decir ""99"" cuando escucho con mi estetoscopio.",Spanish,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Voy a poner este bastoncillo de algodón en su fosa nasal. Usted se sentirá extraño, pero no es doloroso",Spanish,Medical Instructions
This is to test for coronavirus,Esto es a prueba de coronavirus,Spanish,Medical Instructions
Tilt your head back,Incline la cabeza de la espalda,Spanish,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Si es positivo coronavirus, que llamamos su teléfono para mañana.",Spanish,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Si es negativo coronavirus, que le enviamos SMS (texto) después de 3 días",Spanish,Medical Instructions
"Later, you will do an X-ray","Más tarde, que va a hacer una radiografía",Spanish,Medical Instructions
There is no sign of infection on your X-ray,No hay ninguna señal de infección en su X-ray,Spanish,Medical Instructions
You can go back soon.,Puede volver pronto.,Spanish,Medical Instructions
"Wait here, do not leave this area","Espera aquí, no deje esta área",Spanish,Medical Instructions
You have to stay in the hospital for a few days,Usted tiene que permanecer en el hospital durante unos días,Spanish,Medical Instructions
We need to transfer you to another location.,Necesitamos para trasladarlos a otro lugar.,Spanish,Medical Instructions
I'll give you medicine to make you feel better,Te voy a dar la medicina para que se sienta mejor,Spanish,Medical Instructions
You must not work for next 5 days.,No se debe trabajar para los próximos 5 días.,Spanish,Medical Instructions
You must come back if you have problems with breathing.,Debe volver si usted tiene problemas con la respiración.,Spanish,Medical Instructions
You must come back if you do not recover completely after 5 days,Debe volver si no se recupera completamente después de 5 días,Spanish,Medical Instructions
Read the handout carefully,Lea cuidadosamente el folleto,Spanish,Medical Instructions
Thank you,Gracias,Spanish,Greetings
Good morning / afternoon / evening,Buena mañana tarde noche,Spanish,Greetings
I am the nurse,Soy la enfermera,Spanish,Greetings
I am the doctor,Yo soy el médico,Spanish,Greetings
You are in the intensive care unit.,Usted está en la unidad de cuidados intensivos.,Spanish,Medical Instructions
Today is Monday,Hoy es Lunes,Spanish,Greetings
Today is Tuesday,Hoy es martes,Spanish,Greetings
Today is Wednesday,Hoy es Miercoles,Spanish,Greetings
Today is Thursday,Hoy es Jueves,Spanish,Greetings
Today is Friday,Hoy es viernes,Spanish,Greetings
Today is Saturday,Hoy es sábado,Spanish,Greetings
Today is Sunday,Hoy es domingo,Spanish,Greetings
You are getting better,Estás mejorando,Spanish,Greetings
We will remove the breathing tube when you are better,Vamos a retirar el tubo de respiración cuando usted es mejor,Spanish,Medical Instructions
You can talk after we remove the breathing tube,Se puede hablar después de retirar el tubo de respiración,Spanish,Medical Instructions
Take a deep breath,Tomar una respiración profunda,Spanish,Medical Instructions
Give me a big cough,Dame un gran tos,Spanish,Medical Instructions
Don’t struggle,No luches,Spanish,Medical Instructions
Don’t move,No se mueva,Spanish,Medical Instructions
Lift up your arm,Levante el brazo,Spanish,Medical Instructions
Lift up your leg,Levante la pierna,Spanish,Medical Instructions
Squeeze my hand,Aprieta mi mano,Spanish,Medical Instructions
Show me two fingers,me muestran dos dedos,Spanish,Medical Instructions
Open your mouth,Abre la boca,Spanish,Medical Instructions
Stick out your tongue,Saca la lengua,Spanish,Medical Instructions
Open your eyes,Abre tus ojos,Spanish,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Voy a brillar una luz en sus ojos. Será brillante.,Spanish,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,Sus pulmones son débiles. Vamos a insertar un tubo de respiración para ayudarle a respirar,Spanish,Medical Instructions
You are going to sleep now,Te vas a dormir ahora,Spanish,Medical Instructions
We are turning you onto your belly to help your lungs expand,Le estamos dando vuelta sobre su vientre para ayudar a sus pulmones se expanden,Spanish,Medical Instructions
We are inserting a tube to help you pass urine,Estamos insertando un tubo para ayudarle a pasar la orina,Spanish,Medical Instructions
We are inserting a tube through your nose,Estamos insertando un tubo por la nariz,Spanish,Medical Instructions
We are going to give you an injection in your neck to give you medications,Vamos a darle una inyección en el cuello para darle medicamentos,Spanish,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Vamos a darle una inyección en el brazo para medir la presión sanguínea,Spanish,Medical Instructions
We will give you sleeping medications.,Le daremos medicamentos para dormir.,Spanish,Medical Instructions
We will give you painkillers.,Le daremos analgésicos.,Spanish,Medical Instructions
We are giving you medication to keep your blood pressure up.,Le estamos dando medicamentos para mantener su presión arterial para arriba.,Spanish,Medical Instructions
We are going to remove the breathing tube.,Vamos a quitar el tubo de respiración.,Spanish,Medical Instructions
We are going to suck out your phlegm,Vamos a chupar su flema,Spanish,Medical Instructions
We are going to clean you with a sponge,Vamos a que limpiar con una esponja,Spanish,Medical Instructions
Turn left,gire a la izquierda,Spanish,Medical Instructions
Turn right,Girar a la derecha,Spanish,Medical Instructions
We will change your diapers,Vamos a cambiar los pañales,Spanish,Medical Instructions
Lift up your leg,Levante la pierna,Spanish,Medical Instructions
We are going to sit you up,Nos vamos a sentar para arriba,Spanish,Medical Instructions
We are going to shift you up the bed,Vamos a cambiar hacia arriba que la cama,Spanish,Medical Instructions
We are going to clean your mouth,Vamos a limpiar la boca,Spanish,Medical Instructions
Do not swallow the gargle,No se trague el gárgaras,Spanish,Medical Instructions
I am a doctor. I do not speak Italian. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Sono un medico. Non parlo italiano. Di impegnarsi a comunicare con te utilizzando questo sito web. Rispondimi in inglese il più possibile. Grazie.,Italian,Greetings
What's your name?,Come ti chiami?,Italian,Greetings
Please give me your Identitification Card / Work Permit,Si prega di darmi il tuo Identitification carta / permesso di lavoro,Italian,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","Negli ultimi 14 giorni, hai incontrato qualcuno che ha coronavirus?",Italian,Contact with Others
Who? What is your relationship with them?,Oms? Qual è il tuo rapporto con loro?,Italian,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),"Quanti giorni fa, li hai conosciuti? (C'è un grafico il numero nella barra laterale se non possono rispondere)",Italian,Contact with Others
How long were you with him/her?,Da quanto tempo sei stato con lui / lei?,Italian,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","Negli ultimi 14 giorni, hai viaggio di Singapore? Se sì, ci dicono i paesi in inglese.",Italian,Contact with Others
Do you have a fever?,Hai la febbre?,Italian,Symptoms
"How many days?
(You may use this for multiple symptoms)","Quanti giorni?
(È possibile utilizzare questo per sintomi multipli)",Italian,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Forse lo si misura con un termometro? Se così fosse, qual è stata la lettura più alta?",Italian,Symptoms
Runny nose?,Naso che cola?,Italian,Symptoms
Cough?,Tosse?,Italian,Symptoms
Sore throat?,Gola infiammata?,Italian,Symptoms
